USA_ATCF_ID,NAME,ISO_TIME,USA_STATUS,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,STORM_SPEED,STORM_DIR
AL012017,ARLENE,4/16/17 6:00,EX,35.8,-50.3,1225,55,992,180,180,360,360,90,90,180,180, , , , ,10,137
AL012017,ARLENE,4/16/17 9:00,EX,35.4503,-49.8967,1265,55,990,180,180,360,360,90,90,180,180, , , , ,10,137
AL012017,ARLENE,4/16/17 12:00,EX,35.1,-49.5,1316,55,989,180,180,360,360,90,90,180,180, , , , ,10,137
AL012017,ARLENE,4/16/17 15:00,EX,34.7498,-49.1079,1367,55,987,180,180,360,330, , ,180,165, , , , ,10,137
AL012017,ARLENE,4/16/17 18:00,EX,34.4,-48.7,1408,55,986,180,180,360,300, , ,180,150, , , , ,10,135
AL012017,ARLENE,4/16/17 21:00,EX,34.035,-48.25,1463,52,986,180,180,360,300, , ,180,150, , , , ,10,133
AL012017,ARLENE,4/17/17 0:00,EX,33.7,-47.8,1505,50,987,180,180,360,300, , ,180,150, , , , ,9,130
AL012017,ARLENE,4/17/17 3:00,EX,33.4347,-47.4006,1548,47,987,165,165,330,285, , , , , , , , ,8,127
AL012017,ARLENE,4/17/17 6:00,EX,33.2,-47,1580,45,988,150,150,300,270, , , , , , , , ,9,125
AL012017,ARLENE,4/17/17 9:00,EX,32.9425,-46.55,1623,45,988,150,150,285,255, , , , , , , , ,9,124
AL012017,ARLENE,4/17/17 12:00,EX,32.7,-46.1,1659,45,989,150,150,270,240, , , , , , , , ,9,122
AL012017,ARLENE,4/17/17 15:00,EX,32.4774,-45.6776,1693,42,990,150,150,255,225, , , , , , , , ,8,121
AL012017,ARLENE,4/17/17 18:00,EX,32.3,-45.3,1727,40,991,150,150,240,210, , , , , , , , ,7,116
AL012017,ARLENE,4/17/17 21:00,EX,32.1849,-44.9627,1747,40,992,150,150,240,210, , , , , , , , ,5,111
AL012017,ARLENE,4/18/17 0:00,EX,32.1,-44.7,1768,40,993,150,150,240,210, , , , , , , , ,4,116
AL012017,ARLENE,4/18/17 3:00,EX,32.0074,-44.5276,1785,37,993,150,150,240,210, , , , , , , , ,3,128
AL012017,ARLENE,4/18/17 6:00,EX,31.9,-44.4,1799,35,994,150,150,240,210, , , , , , , , ,3,137
AL012017,ARLENE,4/18/17 9:00,EX,31.7724,-44.2727,1813,35,994,150,150,240,210, , , , , , , , ,4,140
AL012017,ARLENE,4/18/17 12:00,EX,31.6,-44.1,1841,35,995,150,150,240,210, , , , , , , , ,6,141
AL012017,ARLENE,4/18/17 15:00,EX,31.3274,-43.8446,1883,32,995, , , , , , , , , , , , ,7,134
AL012017,ARLENE,4/18/17 18:00,EX,31.1,-43.5,1914,30,996, , , , , , , , , , , , ,7,113
AL012017,ARLENE,4/18/17 21:00,EX,31.0476,-43.0652,1939,30,996, , , , , , , , , , , , ,8,90
AL012017,ARLENE,4/19/17 0:00,SD,31.1,-42.6,1949,30,996, , , , , , , , , , , , ,8,81
AL012017,ARLENE,4/19/17 3:00,SD,31.1699,-42.185,1955,30,996, , , , , , , , , , , , ,7,74
AL012017,ARLENE,4/19/17 6:00,SD,31.3,-41.8,1961,30,996, , , , , , , , , , , , ,7,64
AL012017,ARLENE,4/19/17 9:00,SD,31.4848,-41.4425,1959,30,996, , , , , , , , , , , , ,7,56
AL012017,ARLENE,4/19/17 12:00,SD,31.7,-41.1,1952,30,996, , , , , , , , , , , , ,7,56
AL012017,ARLENE,4/19/17 15:00,SD,31.8773,-40.757,1946,30,996, , , , , , , , , , , , ,7,56
AL012017,ARLENE,4/19/17 18:00,SD,32.1,-40.4,1946,30,996, , , , , , , , , , , , ,8,51
AL012017,ARLENE,4/19/17 21:00,SD,32.4052,-39.9777,1936,30,996, , , , , , , , , , , , ,10,44
AL012017,ARLENE,4/20/17 0:00,TD,32.8,-39.6,1918,30,996, , , , , , , , , , , , ,10,34
AL012017,ARLENE,4/20/17 3:00,TD,33.2324,-39.3107,1897,32,995, , , , , , , , , , , , ,11,19
AL012017,ARLENE,4/20/17 6:00,TS,33.8,-39.2,1847,35,994,60,60, , , , , , , , , , ,13,0
AL012017,ARLENE,4/20/17 9:00,TS,34.5322,-39.2883,1778,35,994,60,60, , , , , , , , , , ,16,348
AL012017,ARLENE,4/20/17 12:00,TS,35.4,-39.6,1682,35,994,60,60, , , , , , , , , , ,19,342
AL012017,ARLENE,4/20/17 15:00,TS,36.3411,-40.0096,1581,37,993,75,75, , , , , , , , , , ,21,335
AL012017,ARLENE,4/20/17 18:00,TS,37.3,-40.7,1456,40,992,90,90, , , , , , , , , , ,23,325
